,slope_angle,rock_strength,rainfall_mm,seismic_activity,temperature_variation,soil_moisture,vegetation_cover,mining_depth,blasting_frequency,weathering_index,human_activity_index,rainfall_intensity,slope_stability_index,rockfall_density,rockfall_volume,rockfall_risk
0,43.72700594236812,46.15485729266889,65.4663532205313,0.3738615348644848,32.19849530029873,0.7822109477132184,39.06747191855894,0,0,0.12153643350718168,8.942337730562883,54.4340880135199,8.683193335463788,114.67633980724449,116.81321295618542,Medium
1,72.53571532049581,43.303846736198224,10.198428326552325,0.9280617559673123,23.45901562821329,0.15147118897085,78.11844216387411,300,1,0.48528030939410616,5.388967510650123,4.3012315105932135,1.2301825751940105,75.43576407487177,134.57958847832353,Medium
2,61.59969709057025,32.33077387520021,21.281326607506237,0.8331358161027791,9.613032497640926,0.3747199567880547,26.14475078111421,600,5,0.5950655134236996,3.708334899883158,5.507754346699245,0.881984380373684,79.50784842258679,147.27606653727736,Medium
3,54.93292420985183,62.50866690710416,54.42527229394377,0.6461870868203157,19.623330229680843,0.18255334921708932,91.55939659811155,100,8,0.36281151619700414,4.765597129982816,21.687478481451983,3.1362066036600242,43.828451657181766,149.52324121053192,Medium
4,32.80093202212183,53.36369123560402,32.89762656879948,0.43138481385172034,27.94336236787298,0.6521361361606152,83.8893274950022,0,0,0.6894603257590727,0.21514492871573365,10.5955254126166,2.3595609212809983,118.48756854061452,72.91195939759324,Low
5,32.79972601681013,80.59906946268026,67.07963453212903,0.7401259321959446,24.300354959196085,0.773144451312675,89.54562059379101,300,4,0.8277108451989051,6.714728676035351,13.563227749022403,2.968692187594387,114.4987488360053,132.9223383318948,Medium
6,27.904180608409973,22.24767063374408,162.47693464273632,0.27330807218990827,31.557907210163595,0.8837657186246018,29.729991879879126,0,0,0.6174102626182083,6.077619615197579,41.61892013034789,1.291267500875395,87.6021210079548,186.21096646512797,High
7,68.30880728874675,65.07075492885885,6.195841633265583,0.7153150630488518,27.499486895678498,0.8606484754683704,10.511701040554433,0,0,0.7828309230740331,4.285119846614141,1.321968280254039,1.216838799039016,132.02864764290308,105.3675648978605,Medium
8,55.05575058716044,73.40642149580927,61.81924163910971,0.6855947074840087,6.8484131782966,0.09920992766091086,10.059063037548944,300,3,0.8483550538742817,9.751802512712796,24.472744564320195,1.571608668695996,76.03528609513523,159.6086309150999,Medium
9,60.40362888980228,73.16405984318149,13.090590970755619,0.46973085307014384,8.375379477144662,0.12567400697904285,55.59075397391584,0,0,0.9898533033820598,1.7324208178154488,4.053678897070319,1.2236484526223217,223.90241442370834,70.01496350984104,Low
10,26.02922471479012,82.02517769668675,26.76246742489368,0.7278372626701544,24.49246096313295,0.9096718129420688,30.55904407077087,0,0,0.5823996142839645,5.8183571983848745,14.359102031263207,5.410485293505408,150.27285184032067,59.231701961704545,Low
11,73.49549260809971,71.03236199806459,1.6707417378620792,0.41055577410723,12.152238755358159,0.8437844319179327,26.352168350276482,0,0,0.11132212713269718,5.586195130216122,0.6255208223628855,8.680824512179894,144.13508959988354,64.95216426863969,Low
12,66.62213204002109,84.94670431533874,7.303765975135991,0.24698288038035326,22.635047079177124,0.46037816504943985,22.240539396964586,600,5,0.4131708523947185,1.0772504797926397,3.747343395750195,3.085905013654737,22.586940876166295,81.1999912842111,Medium
13,35.61695553391381,43.2859619874624,19.266750916455855,0.6955930025999842,28.766527762819297,0.4300520917771532,56.209761048776684,0,0,0.745180567822516,4.739983069311437,6.08542719012129,1.63084390782573,96.24225251652247,95.92013388153256,Medium
14,34.09124836035503,55.224659172608014,20.926438768942095,0.48295141417210813,22.30794763421156,0.5527996748831201,54.80952317444415,100,3,0.8712250464299696,0.4811155047842264,6.276164911237773,1.8592815746326612,65.00847514546314,91.51672352843546,Medium
15,34.17022549267169,20.985576429802347,114.9222918085363,0.6203561206597336,17.46465710018868,0.596635849881623,42.23126794917682,0,0,0.20970939017025325,4.248485225868691,67.30173726629039,2.9281584824110025,78.59555807136732,131.440558156184,Medium
16,40.21211214797688,20.487031111230387,67.7035399489366,0.8641773183118813,24.388109333381568,0.25421656043430474,13.844003523403892,0,0,0.6023449443615128,0.18026414903146493,15.169685396638142,0.8457829822823653,113.52338326044296,120.18362273235799,Medium
